100 0.050505
-2.500000	 0.017528
-2.449495	 0.019862
-2.398990	 0.022449
-2.348485	 0.025308
-2.297980	 0.028459
-2.247475	 0.031920
-2.196970	 0.035712
-2.146465	 0.039852
-2.095960	 0.044358
-2.045455	 0.049248
-1.994949	 0.054538
-1.944444	 0.060243
-1.893939	 0.066375
-1.843434	 0.072944
-1.792929	 0.079959
-1.742424	 0.087426
-1.691919	 0.095347
-1.641414	 0.103720
-1.590909	 0.112541
-1.540404	 0.121802
-1.489899	 0.131488
-1.439394	 0.141583
-1.388889	 0.152065
-1.338384	 0.162907
-1.287879	 0.174078
-1.237374	 0.185540
-1.186869	 0.197253
-1.136364	 0.209172
-1.085859	 0.221245
-1.035354	 0.233420
-0.984848	 0.245637
-0.934343	 0.257835
-0.883838	 0.269949
-0.833333	 0.281912
-0.782828	 0.293655
-0.732323	 0.305109
-0.681818	 0.316201
-0.631313	 0.326862
-0.580808	 0.337022
-0.530303	 0.346612
-0.479798	 0.355567
-0.429293	 0.363824
-0.378788	 0.371325
-0.328283	 0.378014
-0.277778	 0.383844
-0.227273	 0.388771
-0.176768	 0.392758
-0.126263	 0.395775
-0.075758	 0.397799
-0.025253	 0.398815
0.025253	 0.398815
0.075758	 0.397799
0.126263	 0.395775
0.176768	 0.392758
0.227273	 0.388771
0.277778	 0.383844
0.328283	 0.378014
0.378788	 0.371325
0.429293	 0.363824
0.479798	 0.355567
0.530303	 0.346612
0.580808	 0.337022
0.631313	 0.326862
0.681818	 0.316201
0.732323	 0.305109
0.782828	 0.293655
0.833333	 0.281912
0.883838	 0.269949
0.934343	 0.257835
0.984848	 0.245637
1.035354	 0.233420
1.085859	 0.221245
1.136364	 0.209172
1.186869	 0.197253
1.237374	 0.185540
1.287879	 0.174078
1.338384	 0.162907
1.388889	 0.152065
1.439394	 0.141583
1.489899	 0.131488
1.540404	 0.121802
1.590909	 0.112541
1.641414	 0.103720
1.691919	 0.095347
1.742424	 0.087426
1.792929	 0.079959
1.843434	 0.072944
1.893939	 0.066375
1.944444	 0.060243
1.994949	 0.054538
2.045455	 0.049248
2.095960	 0.044358
2.146465	 0.039852
2.196970	 0.035712
2.247475	 0.031920
2.297980	 0.028459
2.348485	 0.025308
2.398990	 0.022449
2.449495	 0.019862
2.500000	 0.017528
